,역번호,호선,역명,역전화번호,도로명주소,위도,경도,위경도
25,215,2,잠실나루,02-6110-2151,서울특별시 송파구 오금로 20 (신천동),37.52068673,127.1038111,"(37.52068673,127.1038111)"
26,216,2,잠실,02-6110-2161,서울특별시 송파구 올림픽로 지하 265 (잠실동),37.51385928,127.1018579,"(37.51385928,127.1018579)"
27,217,2,잠실새내,02-6110-2171,서울특별시 송파구 올림픽로 지하 140 (잠실동),37.51156721,127.0863739,"(37.51156721,127.0863739)"
28,218,2,종합운동장,02-6110-2181,서울특별시 송파구 올림픽로 지하 23 (잠실동),37.51096927,127.073356,"(37.51096927,127.073356)"
29,219,2,삼성,02-6110-2191,서울특별시 강남구 테헤란로 지하 538 (삼성동),37.508862,127.063073,"(37.508862,127.063073)"
30,220,2,선릉,02-6110-2201,서울특별시 강남구 테헤란로 지하 340 (삼성동),37.50450288,127.0489425,"(37.50450288,127.0489425)"
31,221,2,역삼,02-6110-2211,서울특별시 강남구 테헤란로 지하 156 (역삼동),37.50071627,127.0366182,"(37.50071627,127.0366182)"
32,222,2,강남,02-6110-2221,서울특별시 강남구 강남대로 지하 396 (역삼동),37.49816465,127.0283079,"(37.49816465,127.0283079)"
33,223,2,교대,02-6110-2231,서울특별시 서초구 서초대로 지하 294 (서초동),37.49357747,127.0141556,"(37.49357747,127.0141556)"
34,224,2,서초,02-6110-2241,서울특별시 서초구 서초대로 지하 233 (서초동),37.491823,127.0075808,"(37.491823,127.0075808)"
35,225,2,방배,02-6110-2251,서울특별시 서초구 방배로 지하 80 (방배동),37.48143649,126.9976949,"(37.48143649,126.9976949)"
36,226,2,사당,02-6110-2261,서울특별시 동작구 남부순환로 지하 2089 (사당동),37.47652283,126.9814089,"(37.47652283,126.9814089)"
37,227,2,낙성대,02-6110-2271,서울특별시 관악구 남부순환로 지하 1928 (봉천동),37.47706518,126.96341,"(37.47706518,126.96341)"
38,228,2,서울대입구,02-6110-2281,서울특별시 관악구 남부순환로 지하 1822 (봉천동),37.48115266,126.9526451,"(37.48115266,126.9526451)"
39,229,2,봉천,02-6110-2291,서울특별시 관악구 남부순환로 지하 1721 (봉천동),37.48255622,126.9414953,"(37.48255622,126.9414953)"
40,230,2,신림,02-6110-2301,서울특별시 관악구 남부순환로 지하 1614 (신림동),37.48421761,126.9298033,"(37.48421761,126.9298033)"
41,231,2,신대방,02-6110-2311,서울특별시 동작구 대림로 2 (신대방동),37.48757597,126.9131756,"(37.48757597,126.9131756)"
42,232,2,구로디지털단지,02-6110-2321,서울특별시 구로구 도림천로 477 (구로동),37.48531492,126.9014944,"(37.48531492,126.9014944)"
43,233,2,대림,02-6110-2331,서울 구로구 구로6동 125-66,37.4933116,126.8940628,"(37.4933116,126.8940628)"
44,234,2,신도림,02-6110-2341,서울특별시 구로구 새말로 지하 117-21 (신도림동),37.50877014,126.8910805,"(37.50877014,126.8910805)"
45,235,2,문래,02-6110-2351,서울특별시 영등포구 당산로 지하 28 (문래동3가),37.51792146,126.8947631,"(37.51792146,126.8947631)"
46,236,2,영등포구청,02-6110-2361,서울특별시 영등포구 당산로 지하 121 (당산동3가),37.52569966,126.8966269,"(37.52569966,126.8966269)"
47,237,2,당산,02-6110-2371,서울특별시 영등포구 당산로 229 (당산동 6가),37.53495687,126.9027307,"(37.53495687,126.9027307)"
48,238,2,합정,02-6110-2381,서울특별시 마포구 양화로 지하 55 (서교동),37.55011521,126.9146382,"(37.55011521,126.9146382)"
49,239,2,홍대입구,02-6110-2391,서울특별시 마포구 양화로 지하160 (동교동),37.55689041,126.9236743,"(37.55689041,126.9236743)"
50,240,2,신촌,02-6110-2401,서울특별시 마포구 신촌로 지하 90 (노고산동),37.55544179,126.9361192,"(37.55544179,126.9361192)"
51,241,2,이대,02-6110-2411,서울특별시 마포구 신촌로 지하 180 (염리동),37.55679801,126.9457582,"(37.55679801,126.9457582)"
52,242,2,아현,02-6110-2421,서울특별시 마포구 신촌로 지하 270 (아현동),37.55735757,126.9560337,"(37.55735757,126.9560337)"
53,243,2,충정로,02-6110-2431,서울특별시 서대문구 서소문로 지하 17 (충정로3가),37.5598378,126.964474,"(37.5598378,126.964474)"
54,244,2,용답,02-6110-1341,서울특별시 성동구 용답길 86 (용답동),37.56200491,127.0507293,"(37.56200491,127.0507293)"
55,245,2,신답,02-6110-1351,서울특별시 성동구 천호대로 232 (용답동),37.56999106,127.0468202,"(37.56999106,127.0468202)"
56,246,2,신설동,02-6110-1371,서울특별시 동대문구 왕산로 지하 1 (신설동),37.57531948,127.0247019,"(37.57531948,127.0247019)"
57,247,2,도림천,02-6110-2441,서울특별시 구로구 경인로 67길 160 (신도림동),37.51444205,126.8827026,"(37.51444205,126.8827026)"
58,248,2,양천구청,02-6110-2451,서울특별시 양천구 목동로3길 지하 33(신정동),37.51269894,126.8660652,"(37.51269894,126.8660652)"
59,249,2,신정네거리,02-6110-2461,서울특별시 양천구 중앙로 지하 261 (신정동),37.51979753,126.8529916,"(37.51979753,126.8529916)"
60,250,2,용두,02-6110-1361,서울특별시 동대문구 천호대로 지하 129,37.57393805,127.0380311,"(37.57393805,127.0380311)"
61,309,3,지축,02-6110-3191,경기도 고양시 덕양구 삼송로 300 (지축동),37.64961807,126.9121678,"(37.64961807,126.9121678)"
62,310,3,구파발,02-6110-3201,서울특별시 은평구 진관2로 지하 15-25 (진관동),37.63684179,126.9187454,"(37.63684179,126.9187454)"
63,311,3,연신내,02-6110-3211,서울특별시 은평구 통일로 지하 849 (갈현동),37.618962,126.9211621,"(37.618962,126.9211621)"
64,312,3,불광,02-6110-3221,서울특별시 은평구 통일로 지하 723-1 (대조동 / 3호선 불광역),37.61020726,126.9299858,"(37.61020726,126.9299858)"
65,313,3,녹번,02-6110-3231,서울특별시 은평구 통일로 지하 602-1 (녹번동),37.60074218,126.9360194,"(37.60074218,126.9360194)"
66,314,3,홍제,02-6110-3241,서울특별시 서대문구 통일로 지하 440-1 (홍제동),37.58871037,126.9442423,"(37.58871037,126.9442423)"
67,315,3,무악재,02-6110-3251,서울특별시 서대문구 통일로 지하 361 (홍제동),37.58238415,126.9503221,"(37.58238415,126.9503221)"
68,316,3,독립문,02-6110-3261,서울특별시 서대문구 통일로 지하 247 (현저동),37.57441036,126.9577503,"(37.57441036,126.9577503)"
69,317,3,경복궁,02-6110-3271,서울특별시 종로구 사직로 지하 130 (적선동),37.5758613,126.9730627,"(37.5758613,126.9730627)"
70,318,3,안국,02-6110-3281,서울특별시 종로구 율곡로 지하 62 (안국동),37.57672037,126.985823,"(37.57672037,126.985823)"
71,319,3,종로3가,02-6110-3291,서울특별시 종로구 종로 지하 129 (종로3가),37.5704266,126.9920293,"(37.5704266,126.9920293)"
72,320,3,을지로3가,02-6110-3301,서울특별시 중구 을지로 지하 106 (을지로3가),37.56626595,126.9903084,"(37.56626595,126.9903084)"
73,321,3,충무로,02-6110-4231,서울 중구 퇴계로 지하 214,37.5612891,126.9942074,"(37.5612891,126.9942074)"
74,322,3,동대입구,02-6110-3321,서울특별시 중구 동호로 지하 256 (장충동2가),37.55903022,127.0054602,"(37.55903022,127.0054602)"
75,323,3,약수,02-6110-3331,서울특별시 중구 다산로 지하 122 (신당동),37.55455956,127.0108225,"(37.55455956,127.0108225)"
76,324,3,금호,02-6110-3341,서울특별시 성동구 동호로 지하 104 (금호동4가),37.54811252,127.0158938,"(37.54811252,127.0158938)"
77,325,3,옥수,02-6110-3351,서울특별시 성동구 동호로 21 (옥수동) 옥수역,37.54104689,127.01833,"(37.54104689,127.01833)"
78,326,3,압구정,02-6110-3361,서울특별시 강남구 압구정로 지하 172 (신사동),37.52643082,127.0284809,"(37.52643082,127.0284809)"
79,327,3,신사,02-6110-3371,서울특별시 강남구 도산대로 지하 102 (신사동),37.51643246,127.0203269,"(37.51643246,127.0203269)"
80,328,3,잠원,02-6110-3381,서울특별시 서초구 잠원로 4길 지하 46 (잠원동),37.51279911,127.0112202,"(37.51279911,127.0112202)"
81,329,3,고속터미널,02-6110-3391,서울특별시 서초구 신반포로 지하 188 (반포동),37.50464718,127.0044421,"(37.50464718,127.0044421)"
82,330,3,교대,02-6110-3401,서울특별시 서초구 서초대로 지하 294 (서초동),37.49357747,127.0141556,"(37.49357747,127.0141556)"
83,331,3,남부터미널,02-6110-3411,서울특별시 서초구 서초중앙로 지하 31 (서초동),37.48514017,127.0162071,"(37.48514017,127.0162071)"
84,332,3,양재,02-6110-3421,서울특별시 서초구 남부순환로 지하 2585 (서초동),37.48393473,127.0345442,"(37.48393473,127.0345442)"
85,333,3,매봉,02-6110-3431,서울특별시 강남구 남부순환로 지하 2744 (도곡동),37.48696113,127.0466146,"(37.48696113,127.0466146)"
86,334,3,도곡,02-6110-3441,서울특별시 강남구 남부순환로 지하 2814 (도곡동),37.49086477,127.0553234,"(37.49086477,127.0553234)"
87,335,3,대치,02-6110-3451,서울특별시 강남구 남부순환로 지하 2952 (대치동),37.49456276,127.0634302,"(37.49456276,127.0634302)"
88,336,3,학여울,02-6110-3461,서울특별시 강남구 남부순환로 지하 3104 (대치동),37.49671719,127.071719,"(37.49671719,127.071719)"
89,337,3,대청,02-6110-3471,서울특별시 강남구 일원로 지하 2 (일원동),37.49372186,127.0794936,"(37.49372186,127.0794936)"
90,338,3,일원,02-6110-3481,서울특별시 강남구 일원로 지하 121 (일원동),37.48407358,127.0844518,"(37.48407358,127.0844518)"
91,339,3,수서,02-6110-3491,서울특별시 강남구 광평로 지하 270 (수서동),37.48738899,127.1018592,"(37.48738899,127.1018592)"
92,340,3,가락시장,02-6311-8171,서울특별시 송파구 송파대로 지하 257 (가락동),37.49274403,127.1184857,"(37.49274403,127.1184857)"
93,341,3,경찰병원,02-3110-3511,서울특별시 송파구 중대로 지하 149 (가락동),37.49560314,127.1240678,"(37.49560314,127.1240678)"
94,342,3,오금,02-6110-3521,서울특별시 송파구 오금로 지하 321 (오금동),37.50226598,127.1278792,"(37.50226598,127.1278792)"
95,409,4,당고개,02-6110-4091,서울특별시 노원구 상계로 305 (상계동),37.67029264,127.0790112,"(37.67029264,127.0790112)"
96,410,4,상계,02-6110-4101,서울특별시 노원구 상계로 182 (상계동),37.66090389,127.0735754,"(37.66090389,127.0735754)"
97,411,4,노원,02-6110-4111,서울특별시 노원구 상계로 69-1 (상계동),37.65626778,127.0630304,"(37.65626778,127.0630304)"
98,412,4,창동,02-6110-4121,서울특별시 도봉구 마들로 11길 77 (창동),37.65321748,127.047715,"(37.65321748,127.047715)"
99,413,4,쌍문,02-6110-4131,서울특별시 도봉구 도봉로 지하 486-1 (창동),37.64884986,127.0348807,"(37.64884986,127.0348807)"
100,414,4,수유,02-6110-4141,서울특별시 강북구 도봉로 지하 50 (미아동),37.61328611,127.0300984,"(37.61328611,127.0300984)"
101,415,4,미아,02-6110-4151,서울특별시 강북구 도봉로 지하 198 (미아동),37.62644364,127.0261034,"(37.62644364,127.0261034)"
102,416,4,미아사거리,02-6110-4161,서울특별시 강북구 도봉로 지하 50 (미아동),37.61328611,127.0300984,"(37.61328611,127.0300984)"
103,417,4,길음,02-6110-4171,서울특별시 성북구 동소문로 지하 248 (길음동),37.60318391,127.0248232,"(37.60318391,127.0248232)"
104,418,4,성신여대입구,02-6110-4181,서울특별시 성북구 동소문로 지하 102 (동선동4가),37.59271793,127.0164776,"(37.59271793,127.0164776)"
105,419,4,한성대입구,02-6110-4191,서울특별시 성북구 삼선교로 지하1 (삼선동1가),37.58839488,127.0059503,"(37.58839488,127.0059503)"
106,420,4,혜화,02-6110-4201,서울특별시 종로구 대학로 지하 120 (동숭동),37.58180362,127.0019784,"(37.58180362,127.0019784)"
107,421,4,동대문,02-6110-4211,서울특별시 종로구 율곡로 308,37.57041171,127.0095466,"(37.57041171,127.0095466)"
108,422,4,동대문역사문화공원,02-6110-4221,서울특별시 중구 장충단로 지하 230 (광희동 2가),37.56507877,127.0075507,"(37.56507877,127.0075507)"
109,423,4,충무로,02-6110-4231,서울 중구 퇴계로 지하 214,37.5612891,126.9942074,"(37.5612891,126.9942074)"
110,424,4,명동,02-6110-4241,서울특별시 중구 퇴계로 지하 126 (충무로2가),37.56091008,126.985947,"(37.56091008,126.985947)"
111,425,4,회현,02-6110-4251,서울특별시 중구 퇴계로 지하 54 (남창동),37.55853532,126.9782391,"(37.55853532,126.9782391)"
112,426,4,서울역,02-6110-4261,서울특별시 용산구 한강대로 지하 392(동자동) ,37.55320002,126.9728055,"(37.55320002,126.9728055)"
113,427,4,숙대입구,02-6110-4271,서울특별시 용산구 한강대로 지하 306,37.54519398,126.9718724,"(37.54519398,126.9718724)"
114,428,4,삼각지,02-6110-4281,서울특별시 용산구 한강대로 지하 180 (한강로1가),37.53459371,126.973011,"(37.53459371,126.973011)"
115,429,4,신용산,02-6110-4291,서울특별시 용산구 한강대로 지하 112 (한강로2가),37.52961556,126.9682159,"(37.52961556,126.9682159)"
116,430,4,이촌,02-6110-4301,서울특별시 용산구 용산동5가 17,37.52291349,126.9759952,"(37.52291349,126.9759952)"
117,431,4,동작,02-6110-4311,서울특별시 동작구 현충로 257 (동작동),37.50287037,126.9802684,"(37.50287037,126.9802684)"
118,432,4,총신대입구,02-6110-4321,서울특별시 동작구 동작대로 지하 117 (사당동),37.48755383,126.9821997,"(37.48755383,126.9821997)"
119,433,4,사당,02-6110-4331,서울특별시 동작구 동작대로 3(사당동 / 사당역(4호선)),37.47686327,126.9815951,"(37.47686327,126.9815951)"
120,434,4,남태령,02-6110-4341,서울특별시 서초구 과천대로 지하 816 (방배동),37.46485756,126.9886565,"(37.46485756,126.9886565)"
121,2511,5,방화,02-6311-5101,서울특별시 강서구 금낭화로 지하132 (방화동),37.57700311,126.8126299,"(37.57700311,126.8126299)"
122,2512,5,개화산,02-6311-5111,서울특별시 강서구 양천로 22(방화동),37.57227002,126.8060017,"(37.57227002,126.8060017)"
123,2513,5,김포공항,02-6311-5121,서울특별시 강서구 하늘길 지하77 (방화동),37.56214413,126.8015703,"(37.56214413,126.8015703)"
124,2514,5,송정,02-6311-5131,서울특별시 강서구 공항대로 지하33 (공항동),37.56147755,126.8110554,"(37.56147755,126.8110554)"
125,2515,5,마곡,02-6311-5141,서울특별시 강서구 공항대로 지하163 (가양동),37.56019845,126.825548,"(37.56019845,126.825548)"
126,2516,5,발산,02-6311-5151,서울특별시 강서구 공항대로 지하267 (가양동),37.55902927,126.8373108,"(37.55902927,126.8373108)"
127,2517,5,우장산,02-6311-5161,서울특별시 강서구 강서로 지하262 (화곡동),37.5490002,126.8364089,"(37.5490002,126.8364089)"
128,2518,5,화곡,02-6311-5171,서울특별시 강서구 화곡로 지하168 (화곡동),37.54143362,126.8404965,"(37.54143362,126.8404965)"
129,2519,5,까치산,02-6311-5181,서울특별시 강서구 강서로 지하54(화곡동),37.53195608,126.8466116,"(37.53195608,126.8466116)"
130,2520,5,신정,02-6311-5191,서울특별시 양천구 오목로 지하179 (신정동),37.52521079,126.8572904,"(37.52521079,126.8572904)"
131,2521,5,목동,02-6311-5201,서울특별시 양천구 오목로 지하245 (목동),37.52619868,126.8647426,"(37.52619868,126.8647426)"
132,2522,5,오목교,02-6311-5211,서울특별시 양천구 오목로 지하342 (목동),37.52445007,126.8753546,"(37.52445007,126.8753546)"
133,2523,5,양평,02-6311-5221,서울특별시 영등포구 양산로 지하21 (양평동2가),37.52551169,126.8868657,"(37.52551169,126.8868657)"
134,2524,5,영등포구청,02-6311-5231,서울특별시 영등포구 당산로 지하 121 (당산동3가),37.52569966,126.8966269,"(37.52569966,126.8966269)"
135,2525,5,영등포시장,02-6311-5241,서울특별시 영등포구 양산로 지하200 (영등포동5가),37.52273452,126.9049592,"(37.52273452,126.9049592)"
136,2526,5,신길,02-6311-5251,서울특별시 영등포구 경인로114가길 지하9 (영등포동1가),37.5176677,126.9143369,"(37.5176677,126.9143369)"
137,2527,5,여의도,02-6311-5261,서울특별시 영등포구 여의나루로 지하40 (여의도동),37.5218423,126.9244847,"(37.5218423,126.9244847)"
138,2528,5,여의나루,02-6311-5271,서울특별시 영등포구 여의동로 지하343 (여의도동),37.52708516,126.932864,"(37.52708516,126.932864)"
139,2529,5,마포,02-6311-5281,서울특별시 마포구 마포대로 지하33 (도화동),37.53958379,126.9459204,"(37.53958379,126.9459204)"
140,2530,5,공덕,02-6311-5291,서울특별시 마포구 마포대로 지하100 (공덕동),37.54452679,126.9513638,"(37.54452679,126.9513638)"
141,2531,5,애오개,02-6311-5301,서울특별시 마포구 마포대로 지하210 (아현동),37.5533624,126.9566133,"(37.5533624,126.9566133)"
142,2532,5,충정로,02-6311-5311,서울특별시 서대문구 충정로 28-1,37.56099344,126.9633733,"(37.56099344,126.9633733)"
143,2533,5,서대문,02-6311-5321,서울특별시 종로구 통일로 지하126 (평동),37.56585627,126.9666374,"(37.56585627,126.9666374)"
144,2534,5,광화문,02-6311-5331,서울특별시 종로구 세종대로 지하172 (세종로),37.57162282,126.976788,"(37.57162282,126.976788)"
145,2535,5,종로3가,02-6311-5341,서울특별시 종로구 종로 지하 129 (종로3가),37.5704266,126.9920293,"(37.5704266,126.9920293)"
146,2536,5,을지로4가,02-6311-5351,서울특별시 중구 을지로 지하 178 (을지로4가),37.56663699,126.9978528,"(37.56663699,126.9978528)"
147,2537,5,동대문역사문화공원,02-6311-5361,서울특별시 중구 을지로 지하 279 (을지로7가),37.56558952,127.0091315,"(37.56558952,127.0091315)"
148,2538,5,청구,02-6311-5371,서울특별시 중구 청구로 지하77 (신당동),37.56029391,127.013806,"(37.56029391,127.013806)"
149,2539,5,신금호,02-6311-5381,서울특별시 성동구 금호로 지하154 (금호동2가),37.55453249,127.0200641,"(37.55453249,127.0200641)"
150,2540,5,행당,02-6311-5391,서울특별시 성동구 행당로 지하89 (행당동),37.55727844,127.029232,"(37.55727844,127.029232)"
151,2541,5,왕십리,02-6311-5401,서울특별시 성동구 왕십리로 지하300 (행당동),37.56122174,127.0366554,"(37.56122174,127.0366554)"
152,2542,5,마장,02-6311-5411,서울특별시 성동구 마장로 지하296 (마장동),37.56628278,127.0431634,"(37.56628278,127.0431634)"
153,2543,5,답십리,02-6311-5421,서울특별시 성동구 천호대로 지하300(용답동),37.56644583,127.053181,"(37.56644583,127.053181)"
154,2544,5,장한평,02-6311-5431,서울특별시 동대문구 천호대로 지하405 (장안동),37.56150268,127.0644211,"(37.56150268,127.0644211)"
155,2545,5,군자,02-6311-5441,서울특별시 광진구 천호대로 지하550,37.55736319,127.0790173,"(37.55736319,127.0790173)"
156,2546,5,아차산,02-6311-5451,서울특별시 광진구 천호대로 지하657,37.55240114,127.0893706,"(37.55240114,127.0893706)"
157,2547,5,광나루,02-6311-5461,서울특별시 광진구 아차산로 지하571 (광장동),37.54527866,127.1036865,"(37.54527866,127.1036865)"
158,2548,5,천호,02-6311-5471,서울특별시 강동구 천호대로 지하997 (천호동),37.53857898,127.1237424,"(37.53857898,127.1237424)"
159,2549,5,강동,02-6311-5481,서울특별시 강동구 천호대로 지하1097 (천호동),37.53552051,127.1335296,"(37.53552051,127.1335296)"
160,2550,5,길동,02-6311-5491,서울특별시 강동구 양재대로 지하1480 (길동),37.53781156,127.1399992,"(37.53781156,127.1399992)"
161,2551,5,굽은다리,02-6311-5501,서울특별시 강동구 양재대로 지하1572 (명일동),37.54573147,127.1429708,"(37.54573147,127.1429708)"
162,2552,5,명일,02-6311-5511,서울특별시 강동구 양재대로 지하1632 (명일동),37.55126028,127.1440009,"(37.55126028,127.1440009)"
163,2553,5,고덕,02-6311-5521,서울특별시 강동구 고덕로 지하253 (고덕동),37.55504732,127.1539494,"(37.55504732,127.1539494)"
164,2554,5,상일동,02-6311-5531,서울특별시 강동구 고덕로 지하359 (상일동),37.55666438,127.1658292,"(37.55666438,127.1658292)"
165,2555,5,둔촌동,02-6311-5541,서울특별시 강동구 양재대로 지하1369 (둔촌동),37.52764137,127.1361903,"(37.52764137,127.1361903)"
166,2556,5,올림픽공원,02-6311-5551,서울특별시 송파구 양재대로 지하1233,37.51608765,127.1306001,"(37.51608765,127.1306001)"
167,2557,5,방이,02-6311-5561,서울특별시 송파구 양재대로 지하1127 (방이동),37.50855645,127.1258547,"(37.50855645,127.1258547)"
168,2558,5,오금,02-6110-3521,서울특별시 송파구 오금로 지하 321 (오금동),37.50226598,127.1278792,"(37.50226598,127.1278792)"
169,2559,5,개롱,02-6311-5581,서울특별시 송파구 오금로 지하402 (가락동),37.49781466,127.1351586,"(37.49781466,127.1351586)"
170,2560,5,거여,02-6311-5591,서울특별시 송파구 오금로 지하499 (거여동),37.49320733,127.1440323,"(37.49320733,127.1440323)"
171,2561,5,마천,02-6311-5601,서울특별시 송파구 마천로57길 지하7 (마천동),37.49467062,127.1523206,"(37.49467062,127.1523206)"
172,2611,6,응암,02-6311-6101,서울특별시 은평구 증산로 지하477 (역촌동),37.59874233,126.9155128,"(37.59874233,126.9155128)"
173,2612,6,역촌,02-6311-6111,서울특별시 은평구 서오릉로 지하63 (녹번동),37.60603905,126.9229679,"(37.60603905,126.9229679)"
174,2613,6,불광,02-6311-6121,서울특별시 은평구 통일로 지하 723-1 (대조동),37.61020726,126.9299858,"(37.61020726,126.9299858)"
175,2614,6,독바위,02-6311-6131,서울특별시 은평구 불광로 지하129-1 (불광동),37.61839888,126.9328101,"(37.61839888,126.9328101)"
176,2615,6,연신내,02-6311-6141,서울특별시 은평구 통일로 지하 849 (갈현동),37.618962,126.9211621,"(37.618962,126.9211621)"
177,2616,6,구산,02-6311-6151,서울특별시 은평구 연서로 지하137-1 (구산동),37.61121222,126.9171824,"(37.61121222,126.9171824)"
178,2617,6,새절,02-6311-6161,서울특별시 은평구 증산로 지하400 (신사동,37.59182705,126.913912,"(37.59182705,126.913912)"
179,2618,6,증산,02-6311-6171,서울특별시 은평구 증산로 지하306 (증산동),37.58419548,126.9100576,"(37.58419548,126.9100576)"
180,2619,6,디지털미디어시티,02-6311-6181,서울특별시 은평구 수색로 지하175 (증산동),37.57716144,126.9019286,"(37.57716144,126.9019286)"
181,2620,6,월드컵경기장,02-6311-6191,서울특별시 마포구 월드컵로 지하240 (성산동),37.56994257,126.8990333,"(37.56994257,126.8990333)"
182,2621,6,마포구청,02-6311-6201,서울특별시 마포구 월드컵로 지하190 (성산동),37.56342631,126.903357,"(37.56342631,126.903357)"
183,2622,6,망원,02-6311-6211,서울특별시 마포구 월드컵로 지하77 (망원동),37.55605729,126.9100339,"(37.55605729,126.9100339)"
184,2623,6,합정,02-6311-6221,서울특별시 마포구 양화로 지하 45 ,37.54912268,126.9135446,"(37.54912268,126.9135446)"
185,2624,6,상수,02-6311-6231,서울특별시 마포구 독막로 지하85 (상수동),37.54777167,126.9224099,"(37.54777167,126.9224099)"
186,2625,6,광흥창,02-6311-6241,서울특별시 마포구 독막로 지하 165,37.54748607,126.9319392,"(37.54748607,126.9319392)"
187,2626,6,대흥,02-6311-6251,서울특별시 마포구 대흥로 지하 85,37.54766835,126.9424653,"(37.54766835,126.9424653)"
188,2627,6,공덕,02-6311-5291,서울특별시 마포구 백범로 지하 200(공덕동),37.54352692,126.9519476,"(37.54352692,126.9519476)"
189,2628,6,효창공원앞,02-6311-6271,서울특별시 용산구 백범로 지하287 (효창동),37.53933404,126.9613185,"(37.53933404,126.9613185)"
190,2629,6,삼각지,02-6311-6281,서울특별시 용산구 한강대로 지하 180 (한강로1가),37.53459371,126.973011,"(37.53459371,126.973011)"
191,2630,6,녹사평,02-6311-6291,서울특별시 용산구 녹사평대로 지하195 (용산동4가),37.53483142,126.9870285,"(37.53483142,126.9870285)"
192,2631,6,이태원,02-6311-6301,서울특별시 용산구 이태원로 지하177 (이태원동),37.53448328,126.9937217,"(37.53448328,126.9937217)"
193,2632,6,한강진,02-6311-6311,서울특별시 용산구 이태원로 지하287 (한남동),37.54029515,127.0017483,"(37.54029515,127.0017483)"
194,2633,6,버티고개,02-6311-6321,서울특별시 중구 다산로 지하38 (신당동),37.547995,127.0068852,"(37.547995,127.0068852)"
195,2634,6,약수,02-6311-6331,서울특별시 중구 다산로 지하 155 (신당동),37.55416084,127.0102666,"(37.55416084,127.0102666)"
