,학교종류명,설립구분,표준학교코드,학교명,영문학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,팩스번호,남녀공학구분명,고등학교구분명,산업체특별학급존재여부,고등학교일반실업구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,시도교육청코드,시도교육청명,소재지명,주야과정,계열명,학과명,적재일시,위도,경도,위경도
13,중학교,사립,7134130,대원국제중학교,Daewon International Middle School,서울특별시성동광진교육지원청,4939,서울특별시 광진구 용마산로22길 26,/ 대원국제중학교 (중곡동),02-2204-1592,http://daewon.ms.kr,02-2204-1583,남여공학,,N,일반계,,전기,주간,19770520,19770520,B10,서울특별시교육청,서울특별시,,,,20211108,37.56245022,127.0893767,"(37.56245022,127.0893767)"
14,중학교,공립,7134129,동마중학교,Dongma Middle School,서울특별시성동광진교육지원청,4759,서울특별시 성동구 마조로11길 18,(마장동),02-2294-6085,http://www.dongma.ms.kr,02-2298-0413,남여공학,,N,일반계,,전기,주간,19841208,19850426,B10,서울특별시교육청,서울특별시,,,,20211108,37.56280251,127.0403512,"(37.56280251,127.0403512)"
15,중학교,사립,7134128,동국대학교사범대학부속여자중학교,Girls Middle School Attached to College of Education/ Dongguk University,서울특별시성동광진교육지원청,5038,서울특별시 광진구 광나루로36길 47,/ 동국대학교사범대학부속여자중학교 (구의동),02-6948-2280-2,http://www.donggukgirls.ms.kr,02-6948-2288,여,,N,일반계,,전기,주간,19300620,19300620,B10,서울특별시교육청,서울특별시,,,,20211108,37.54192936,127.0869731,"(37.54192936,127.0869731)"
16,중학교,공립,7134127,구의중학교,Guui Middle School,서울특별시성동광진교육지원청,5022,서울특별시 광진구 광나루로30길 80,(화양동),02-447-4798,http://www.guui.ms.kr,02-455-5061,남여공학,,N,일반계,,전기,주간,19840430,19840430,B10,서울특별시교육청,서울특별시,,,,20211108,37.5428503,127.0788404,"(37.5428503,127.0788404)"
17,중학교,공립,7134126,광희중학교,Kwanghee Middle School,서울특별시성동광진교육지원청,4742,서울특별시 성동구 독서당로62길 46,/ 광희중학교 (응봉동),02-2298-0250,http://www.kwanghee.ms.kr,02-2298-0252,남여공학,,N,일반계,,전기,주간,19370521,19370521,B10,서울특별시교육청,서울특별시,,,,20211108,37.55115453,127.03398,"(37.55115453,127.03398)"
18,중학교,공립,7134125,광진중학교,Gwangjin Middle School,서울특별시성동광진교육지원청,5114,서울특별시 광진구 뚝섬로64길 45,(자양동/광진중학교),02-447-2886,http://gwangjin.ms.kr,02-3436-1508,남여공학,,N,일반계,,전기,주간,19790901,19791010,B10,서울특별시교육청,서울특별시,,,,20211108,37.53221959,127.0901621,"(37.53221959,127.0901621)"
19,중학교,공립,7134124,광장중학교,Gwangjang Middle School,서울특별시성동광진교육지원청,4966,서울특별시 광진구 광장로1길 1,/ 광장중학교 (광장동),02-452-0745,http://www.gwangjang.ms.kr,02-444-5692,남여공학,,N,일반계,,전기,주간,19821209,19830406,B10,서울특별시교육청,서울특별시,,,,20211108,37.54717752,127.1019276,"(37.54717752,127.1019276)"
20,중학교,공립,7134123,광양중학교,Kwangyang Middle School,서울특별시성동광진교육지원청,5104,서울특별시 광진구 자양로3길 7,(자양동),02-452-6922,http://www.kwangyang.ms.kr,02-458-7067,남여공학,,N,일반계,,전기,주간,19860129,19860418,B10,서울특별시교육청,서울특별시,,,,20211108,37.53089134,127.08617,"(37.53089134,127.08617)"
21,중학교,공립,7134122,광남중학교,Gwangnam Middle School,서울특별시성동광진교육지원청,4973,서울특별시 광진구 아차산로70길 17-62,/ 광남중학교 (광장동),02-456-8792,http://www.gwangnam.ms.kr,02-455-0161/453-2818,남여공학,,N,일반계,,전기,주간,19930116,19930504,B10,서울특별시교육청,서울특별시,,,,20211108,37.54083041,127.1016439,"(37.54083041,127.1016439)"
22,중학교,공립,7134121,경일중학교,Kyungil Middle School,서울특별시성동광진교육지원청,4779,서울특별시 성동구 성수일로 27,(성수동1가),02-468-0651,http://kyungil.ms.kr,02-468-2766,남여공학,,N,해당없음,,전기,주간,20031230,20040506,B10,서울특별시교육청,서울특별시,,,,20211108,37.54382982,127.0478683,"(37.54382982,127.0478683)"
23,중학교,공립,7134120,경수중학교,Gyeongsu Middle School,서울특별시성동광진교육지원청,4785,서울특별시 성동구 뚝섬로13길 14,(성수동2가),02-464-0675,http://www.gsu.ms.kr,02-497-0296,남여공학,,N,일반계,,전기,주간,19801227,19810504,B10,서울특별시교육청,서울특별시,,,,20211108,37.53950904,127.0592712,"(37.53950904,127.0592712)"
24,중학교,사립,7134119,건국대학교사범대학부속중학교,Middle School Attached To College of Education KONKUK University,서울특별시성동광진교육지원청,5025,서울특별시 광진구 자양로 145-1,건국대학교사범대학부속중학교,02-457-0318,http://www.konkuk.ms.kr,02-458-7427,남여공학,,N,일반계,,전기,주간,19671230,19680515,B10,서울특별시교육청,서울특별시,,,,20211108,37.54172407,127.0815971,"(37.54172407,127.0815971)"
25,초등학교,사립,7134118,한양초등학교,Hanyang Elementary School,서울특별시성동광진교육지원청,4763,서울특별시 성동구 살곶이길 208,/ 한양초등학교 (사근동),02-2293-8732,http://www.hye.or.kr,02-2299-3492,남여공학,,N,일반계,,전기,주간,19660220,19660515,B10,서울특별시교육청,서울특별시,,,,20211108,37.55762103,127.0502634,"(37.55762103,127.0502634)"
26,초등학교,사립,7134117,세종초등학교,Sejong Elementary School,서울특별시성동광진교육지원청,5006,서울특별시 광진구 군자로 114,/ 세종초등학교 (군자동),02-466-0045,http://sje.sejong.ac.kr,02-499-3513,남여공학,,N,일반계,,전기,주간,19621004,19621004,B10,서울특별시교육청,서울특별시,,,,20211108,37.5530111,127.0728646,"(37.5530111,127.0728646)"
27,초등학교,사립,7134116,성동초등학교,Sungdong Elementary School,서울특별시성동광진교육지원청,5114,서울특별시 광진구 자양로4길 63,(자양동),02-447-2642,http://www.sungdong.es.kr,02-454-4322,남여공학,,N,일반계,,전기,주간,19661216,19670320,B10,서울특별시교육청,서울특별시,,,,20211108,37.53328137,127.089281,"(37.53328137,127.089281)"
28,초등학교,공립,7134115,서울화양초등학교,Seoul Hwayang Elementary School,서울특별시성동광진교육지원청,5011,서울특별시 광진구 군자로 9,(화양동),02-461-1866,http://hy.es.kr,02-499-5875,남여공학,,N,일반계,,전기,주간,19830701,19831021,B10,서울특별시교육청,서울특별시,,,,20211108,37.54422859,127.0715827,"(37.54422859,127.0715827)"
29,초등학교,공립,7134114,서울행현초등학교,Seoul Haenghyun Elementary School,서울특별시성동광진교육지원청,4713,서울특별시 성동구 행당로 95,(행당동),02-2294-7693,http://www.haenghyun.es.kr,02-2294-3030,남여공학,,N,해당없음,,전기,주간,20050714,20050901,B10,서울특별시교육청,서울특별시,,,,20211108,37.55770899,127.029368,"(37.55770899,127.029368)"
30,초등학교,공립,7134113,서울행당초등학교,Seoul Haengdang Elementary School,서울특별시성동광진교육지원청,4746,서울특별시 성동구 고산자로8길 6,/ 서울행당초등학교 (행당동),02-2292-9434,http://hd.es.kr,02-2296-7922,남여공학,,N,일반계,,전기,주간,19621026,19621026,B10,서울특별시교육청,서울특별시,,,,20211108,37.55701913,127.0348734,"(37.55701913,127.0348734)"
31,초등학교,공립,7134112,서울중마초등학교,Seoul Jungma Elementary School,서울특별시성동광진교육지원청,4907,서울특별시 광진구 동일로72길 43,(중곡동),02-466-1007,http://www.jungma.es.kr,02-467-9296,남여공학,,N,일반계,,전기,주간,19821110,19821110,B10,서울특별시교육청,서울특별시,,,,20211108,37.56579084,127.0790239,"(37.56579084,127.0790239)"
32,초등학교,공립,7134111,서울중광초등학교,Seoul Junggwang Elementary School,서울특별시성동광진교육지원청,4908,서울특별시 광진구 긴고랑로13길 59,(중곡동/중광초등학교),02-469-3340,www.jkschool.net,02-465-0936,남여공학,,N,일반계,,전기,주간,19980901,19980901,B10,서울특별시교육청,서울특별시,,,,20211108,37.56524214,127.082693,"(37.56524214,127.082693)"
33,초등학교,공립,7134110,서울장안초등학교,Seoul Jang-an Elementary School,서울특별시성동광진교육지원청,5004,서울특별시 광진구 군자로 74,(군자동),02-469-5264,http://jangan.sen.es.kr,02-469-5266,남여공학,,N,일반계,,전기,주간,19550319,19550319,B10,서울특별시교육청,서울특별시,,,,20211108,37.54987645,127.0724025,"(37.54987645,127.0724025)"
34,초등학교,공립,7134109,서울자양초등학교,Seoul jayang Elementary School,서울특별시성동광진교육지원청,5054,서울특별시 광진구 아차산로44길 26,(자양동),02-457-1468,http://jayang.sen.es.kr/,02-458-4393,남여공학,,N,일반계,,전기,주간,19451210,19451210,B10,서울특별시교육청,서울특별시,,,,20211108,37.53698824,127.0797396,"(37.53698824,127.0797396)"
35,초등학교,공립,7134108,서울응봉초등학교,Seoul Eungbong Elementary School,서울특별시성동광진교육지원청,4742,서울특별시 성동구 독서당로62길 28,(응봉동/ 응봉초등학교),02-2281-0816,http://eb.sen.es.kr,02-2281-0833,남여공학,,N,일반계,,전기,주간,20020712,20021024,B10,서울특별시교육청,서울특별시,,,,20211108,37.55025339,127.0338297,"(37.55025339,127.0338297)"
36,초등학교,공립,7134107,서울용마초등학교,Seoul Yongma Elementary School,서울특별시성동광진교육지원청,4926,서울특별시 광진구 천호대로113길 10,(중곡동),02-3436-4012,http://www.ymc.es.kr,02-3436-4018,남여공학,,N,일반계,,전기,주간,19720801,19721123,B10,서울특별시교육청,서울특별시,,,,20211108,37.55782735,127.0835274,"(37.55782735,127.0835274)"
37,초등학교,공립,7134106,서울용답초등학교,Seoul Yongdap Elementary School,서울특별시성동광진교육지원청,4805,서울특별시 성동구 용답25길 1,/ 서울용답초등학교,02-2245-2717,http://www.yd.es.kr,02-2215-8206,남여공학,,N,일반계,,전기,주간,19830420,19830420,B10,서울특별시교육청,서울특별시,,,,20211108,37.56072712,127.0537608,"(37.56072712,127.0537608)"
38,초등학교,공립,7134105,서울용곡초등학교,Seoul Yong-gok Elementary School,서울특별시성동광진교육지원청,4940,서울특별시 광진구 용마산로22길 82,/ 서울용곡초등학교 (중곡동),02-457-7225,yonggok.es.kr,02-454-4508,남여공학,,N,일반계,,전기,주간,19780213,19780504,B10,서울특별시교육청,서울특별시,,,,20211108,37.56710862,127.088453,"(37.56710862,127.088453)"
39,초등학교,공립,7134104,서울옥정초등학교,Seoul Okjeong Elementary School,서울특별시성동광진교육지원청,4735,서울특별시 성동구 한림말길 43,(옥수동/옥정초등학교),02-2297-0148,http://www.okjeong.es.kr,02-2298-1911,남여공학,,N,일반계,,전기,주간,19710522,19710522,B10,서울특별시교육청,서울특별시,,,,20211108,37.54230974,127.0157855,"(37.54230974,127.0157855)"
40,초등학교,공립,7134103,서울옥수초등학교,Seoul Oksu Elementary School,서울특별시성동광진교육지원청,4740,서울특별시 성동구 금호로1길 25,/ 옥수초등학교 (금호동4가),02-2297-8623,http://www.oksu.es.kr,02-2299-5209,남여공학,,N,일반계,,전기,주간,19670327,19661202,B10,서울특별시교육청,서울특별시,,,,20211108,37.54552939,127.0218696,"(37.54552939,127.0218696)"
41,초등학교,공립,7134102,서울양진초등학교,Seoul Yangjin Elementary School,서울특별시성동광진교육지원청,4982,서울특별시 광진구 워커힐로 32,(광장동/양진초중학교),02-454-9071,www.yjs.es.kr,02-454-9957,남여공학,,N,해당없음,,전기,주간,20050301,20050506,B10,서울특별시교육청,서울특별시,,,,20211108,37.54457517,127.0983114,"(37.54457517,127.0983114)"
42,초등학교,공립,7134101,서울양남초등학교,Seoul Yangnam Elementary School,서울특별시성동광진교육지원청,5114,서울특별시 광진구 뚝섬로64길 71,/ (자양동/ 서울양남초등학교),02-452-8189,http://s-yangnam.sen.es.kr,02-454-3690,남여공학,,N,일반계,,전기,주간,19831203,19840516,B10,서울특별시교육청,서울특별시,,,,20211108,37.53112324,127.0892343,"(37.53112324,127.0892343)"
43,초등학교,공립,7134100,서울신자초등학교,Seoul Sinja Elementary School,서울특별시성동광진교육지원청,5110,서울특별시 광진구 뚝섬로46길 64,/ 서울신자초등학교 (자양동),02-450-5600,http://www.sinja.es.kr/,02-450-5678,남여공학,,N,일반계,,전기,주간,19821207,19830504,B10,서울특별시교육청,서울특별시,,,,20211108,37.53024545,127.0755876,"(37.53024545,127.0755876)"
44,초등학교,공립,7134099,서울신양초등학교,Seoul Sinyang Elementary School,서울특별시성동광진교육지원청,5090,서울특별시 광진구 능동로 42,/ 신양초등학교 (자양동),02-2201-8082,http://www.sinyang.es.kr,02-2201-8087,남여공학,,N,일반계,,전기,주간,19790411,19790411,B10,서울특별시교육청,서울특별시,,,,20211108,37.53468209,127.0699953,"(37.53468209,127.0699953)"
45,초등학교,공립,7134098,서울송원초등학교,Seoul Songwon Elementary School,서울특별시성동광진교육지원청,4800,서울특별시 성동구 동일로43길 9,(송정동),02-469-5074,http://ssw.es.kr,02-469-5075,남여공학,,N,해당없음,,전기,주간,20090301,20090301,B10,서울특별시교육청,서울특별시,,,,20211108,37.55415927,127.0695262,"(37.55415927,127.0695262)"
46,초등학교,공립,7134097,서울성자초등학교,Seoul Seongja Elementary School,서울특별시성동광진교육지원청,5102,서울특별시 광진구 뚝섬로56길 7,/ 서울성자초등학교 (자양동),02-2161-6500,http://www.seongja.es.kr,02-453-8724,남여공학,,N,일반계,,전기,주간,19840518,19840518,B10,서울특별시교육청,서울특별시,,,,20211108,37.53149357,127.0834083,"(37.53149357,127.0834083)"
47,초등학교,공립,7134096,서울성수초등학교,Seoul Seongsu Elementary School,서울특별시성동광진교육지원청,4798,서울특별시 성동구 아차산로17길 21,(성수동2가),02-466-4504,http://www.seongsoo.es.kr,02-461-0426,남여공학,,N,일반계,,전기,주간,19720901,19721201,B10,서울특별시교육청,서울특별시,,,,20211108,37.54431313,127.0631674,"(37.54431313,127.0631674)"
48,초등학교,공립,7134095,서울사근초등학교,Seoul Sageun Elementary School,서울특별시성동광진교육지원청,4761,서울특별시 성동구 사근동11길 16,(사근동/ 사근초등학교),02-2293-9690,http://sageun.sen.es.kr,02-2296-9767,남여공학,,N,일반계,,전기,주간,19670711,19671113,B10,서울특별시교육청,서울특별시,,,,20211108,37.56267971,127.0475738,"(37.56267971,127.0475738)"
49,초등학교,공립,7134094,서울무학초등학교,Seoul Muhak Elementary School,서울특별시성동광진교육지원청,4710,서울특별시 성동구 무학봉15길 21,/ 서울무학초등학교 (하왕십리동),02-2290-3200,http://www.muhag.es.kr,02-2298-4013,남여공학,,N,일반계,,전기,주간,19150901,19150901,B10,서울특별시교육청,서울특별시,,,,20211108,37.56327474,127.0296437,"(37.56327474,127.0296437)"
50,초등학교,공립,7134093,서울마장초등학교,Seoul Majang Elementary School,서울특별시성동광진교육지원청,4753,서울특별시 성동구 마장로35나길 31,/ 서울마장초등학교 (마장동),02-2292-1834,http://www.majang.es.kr,02-2292-3833,남여공학,,N,해당없음,,전기,주간,20050301,20050301,B10,서울특별시교육청,서울특별시,,,,20211108,37.56830949,127.042128,"(37.56830949,127.042128)"
51,초등학교,공립,7134092,서울동호초등학교,Seoul Dongho Elementary School,서울특별시성동광진교육지원청,4731,서울특별시 성동구 매봉길 49-35,(옥수동/ 동호초등학교),02-2299-8370,http://dongho.sen.es.kr,02-2299-8214,남여공학,,N,해당없음,,전기,주간,20100301,20100430,B10,서울특별시교육청,서울특별시,,,,20211108,37.54646244,127.0100123,"(37.54646244,127.0100123)"
52,초등학교,공립,7134091,서울동자초등학교,Seoul Dongja Elementary School,서울특별시성동광진교육지원청,5069,서울특별시 광진구 뚝섬로 561,(자양동),02-444-1349,http://www.dongja.es.kr,02-457-8334,남여공학,,N,일반계,,전기,주간,19841205,19841205,B10,서울특별시교육청,서울특별시,,,,20211108,37.53505821,127.0721792,"(37.53505821,127.0721792)"
53,초등학교,공립,7134090,서울동의초등학교,Seoul Dongeui Elementary School,서울특별시성동광진교육지원청,4948,서울특별시 광진구 영화사로 111,(구의동/서울동의초등학교),02-447-2706,http://dongeui.sen.es.kr,02-456-7976,남여공학,,N,일반계,,전기,주간,19870709,19871026,B10,서울특별시교육청,서울특별시,,,,20211108,37.55342244,127.0990473,"(37.55342244,127.0990473)"
54,초등학교,공립,7134089,서울동명초등학교,Seoul Dongmyeong Elementary School,서울특별시성동광진교육지원청,4705,서울특별시 성동구 마장로29길 29,/ 서울동명초등학교 (마장동),02-2299-5122,http://dgmg.sen.es.kr/index.do,02-2299-5126,남여공학,,N,일반계,,전기,주간,19441010,19441010,B10,서울특별시교육청,서울특별시,,,,20211108,37.56812285,127.0351082,"(37.56812285,127.0351082)"
55,초등학교,공립,7134088,서울금호초등학교,Seoul Geumho Elementary School,서울특별시성동광진교육지원청,4726,서울특별시 성동구 무수막길 69,/ 서울금호초등학교 (금호동2가),02-2237-7495,http://www.geumho.es.kr,02-2237-6262,남여공학,,N,일반계,,전기,주간,19580401,19580401,B10,서울특별시교육청,서울특별시,,,,20211108,37.55189794,127.0207529,"(37.55189794,127.0207529)"
56,초등학교,공립,7134087,서울금옥초등학교,Seoul Geumok Elementary School,서울특별시성동광진교육지원청,4725,서울특별시 성동구 독서당로 251,(금호동4가/ 서울금옥초등학교),02-2297-2267,https://geumok.sen.es.kr,02-2291-8999,남여공학,,N,일반계,,전기,주간,19620412,19620412,B10,서울특별시교육청,서울특별시,,,,20211108,37.54630162,127.0176507,"(37.54630162,127.0176507)"
57,초등학교,공립,7134086,서울금북초등학교,Seoul Geumbuk Elementary School,서울특별시성동광진교육지원청,4721,서울특별시 성동구 행당로1길 13,/ 서울금북초등학교 (금호동1가),02-2299-5303,http://geumbuk.es.kr/,02-2299-5301,남여공학,,N,일반계,,전기,주간,19681126,19681126,B10,서울특별시교육청,서울특별시,,,,20211108,37.55749549,127.0235565,"(37.55749549,127.0235565)"
58,초등학교,공립,7134085,서울구의초등학교,Seoul Guui Elementary School,서울특별시성동광진교육지원청,5022,서울특별시 광진구 광나루로30길 49,/ 서울구의초등학교 (화양동),02-446-5507,http://www.guui.es.kr,02-444-5872,남여공학,,N,일반계,,전기,주간,19811226,19820422,B10,서울특별시교육청,서울특별시,,,,20211108,37.54300744,127.0803118,"(37.54300744,127.0803118)"
59,초등학교,공립,7134084,서울구남초등학교,Seoul Gunam Elementary School,서울특별시성동광진교육지원청,5048,서울특별시 광진구 구의강변로 69,/ 서울구남초등학교 (구의동),02-453-8921,http://www.gunam.es.kr,02-3436-7518,남여공학,,N,일반계,,전기,주간,19980301,19980605,B10,서울특별시교육청,서울특별시,,,,20211108,37.53709659,127.0922888,"(37.53709659,127.0922888)"
60,초등학교,공립,7134083,서울광진초등학교,Seoul Gwangjin Elementary School,서울특별시성동광진교육지원청,4980,서울특별시 광진구 자양로40길 41,/ 서울광진초등학교 (구의동),02-458-4693,http://www.gwangjin.es.kr,02-458-6852,남여공학,,N,일반계,,전기,주간,20030901,20030901,B10,서울특별시교육청,서울특별시,,,,20211108,37.54761146,127.0913325,"(37.54761146,127.0913325)"
61,초등학교,공립,7134082,서울광장초등학교,Seoul Gwangjang Elementary School,서울특별시성동광진교육지원청,4966,서울특별시 광진구 광장로1길 27,/ 서울광장초등학교 (광장동),02-2139-1501,http://kwangjang.sen.es.kr,02-453-7140,남여공학,,N,일반계,,전기,주간,19461110,19461110,B10,서울특별시교육청,서울특별시,,,,20211108,37.54854922,127.1017999,"(37.54854922,127.1017999)"
62,초등학교,공립,7134081,서울광남초등학교,Seoul Gwangnam Elementary School,서울특별시성동광진교육지원청,4973,서울특별시 광진구 아차산로70길 35,(광장동),02-455-3763,http://seoulgwangnam.es.kr/,02-457-4946,남여공학,,N,일반계,,전기,주간,19900120,19900607,B10,서울특별시교육청,서울특별시,,,,20211108,37.54078809,127.1006653,"(37.54078809,127.1006653)"
63,초등학교,공립,7134080,서울경일초등학교,Seoul Gyeongil Elementary School,서울특별시성동광진교육지원청,4774,서울특별시 성동구 뚝섬로 332,(성수동1가),02-2086-6200,http://kyongil.es.kr,02-2086-6299,남여공학,,N,일반계,,전기,주간,19841031,19841031,B10,서울특별시교육청,서울특별시,,,,20211108,37.5409419,127.0466051,"(37.5409419,127.0466051)"
64,초등학교,공립,7134079,서울경수초등학교,Seoul Gyeongsu Elementary School,서울특별시성동광진교육지원청,4785,서울특별시 성동구 뚝섬로13길 22,(성수동2가/경수초등학교),02-498-5123,http://www.kyeongsu.es.kr,02-498-5127,남여공학,,N,일반계,,전기,주간,19820429,19820429,B10,서울특별시교육청,서울특별시,,,,20211108,37.54043667,127.0580668,"(37.54043667,127.0580668)"
65,초등학교,공립,7134078,서울경동초등학교,Seoul Kyungdong Elementary School,서울특별시성동광진교육지원청,4781,서울특별시 성동구 성수일로 34,(성수동1가/경동초등학교),02-6902-2700,http://kyungdong.sen.es.kr,02-6902-2799,남여공학,,N,일반계,,전기,주간,19131001,19131001,B10,서울특별시교육청,서울특별시,,,,20211108,37.5438253,127.050074,"(37.5438253,127.050074)"
66,초등학교,사립,7134077,경복초등학교,Kyungbok Elementary School,서울특별시성동광진교육지원청,4991,서울특별시 광진구 천호대로130길 58,/ 경복초등학교 (능동),02-2204-1200,http://www.kbes.kr,02-454-5086,남여공학,,N,일반계,,전기,주간,19650302,19650302,B10,서울특별시교육청,서울특별시,,,,20211108,37.54981386,127.0867934,"(37.54981386,127.0867934)"
67,중학교,사립,7132154,중앙대학교사범대학부속중학교,Chung-ang University Middle school,서울특별시동작관악교육지원청,6980,서울특별시 동작구 서달로 124,/ 중앙대학교사범대학부속중학교 (흑석동),02-827-9114,http://www.cau.ms.kr,02-817-9018,남여공학,,N,일반계,,전기,주간,19340415,19340415,B10,서울특별시교육청,서울특별시,,,,20211108,37.50362942,126.9617326,"(37.50362942,126.9617326)"
68,중학교,공립,7132153,장승중학교,Jangseung Middle School,서울특별시동작관악교육지원청,6963,서울특별시 동작구 장승배기로10가길 25,/ 장승중학교 (상도동),02-812-4416,http://jangseung.sen.ms.kr,02-822-1618,남여공학,,N,일반계,,전기,주간,19850424,19850424,B10,서울특별시교육청,서울특별시,,,,20211108,37.50314858,126.940834,"(37.50314858,126.940834)"
69,중학교,공립,7132152,인헌중학교,Inhun Middle School,서울특별시동작관악교육지원청,8795,서울특별시 관악구 인헌9길 35,/ 인헌중학교 (봉천동),02-877-6760,http://inhun.ms.kr,02-885-5564,남여공학,,N,일반계,,전기,주간,19710116,19710520,B10,서울특별시교육청,서울특별시,,,,20211108,37.47269621,126.9688402,"(37.47269621,126.9688402)"
